Prese,2562.0,,2562.0,,467.0,,,,57.6,,57.6,
Jet>2,2562.0,0.0,2562.0,0.0,467.0,0.0,467.0,0.0,57.6,0.0,57.6,0.0
Jet>4,1931.0,-24.6,1933.3,-24.5,410.0,-12.2,417.4,-10.6,53.5,-7.1,54.3,-5.6
Dphi(j3)>0.4,1718.0,-11.0,1707.4,-11.7,357.0,-12.9,360.4,-13.7,44.7,-16.4,45.4,-16.4
Dphi(rest)>0.2,1583.0,-7.9,1555.8,-8.9,322.0,-9.8,323.2,-10.3,39.8,-11.0,39.9,-12.1
pt(j4)>100,661.0,-58.2,688.2,-55.8,234.0,-27.3,237.0,-26.7,35.3,-11.3,35.4,-11.4
eta(j4)<2,574.0,-13.2,607.7,-11.7,214.0,-8.5,217.4,-8.3,32.1,-9.1,32.0,-9.5
Aplanarity>0.04,429.0,-25.3,436.3,-28.2,159.0,-25.7,159.8,-26.5,22.3,-30.5,22.4,-30.2
Etmiss/HT,149.0,-65.3,154.7,-64.5,82.7,-48.0,82.5,-48.4,13.9,-37.7,13.9,-37.9
Meff,149.0,0.0,153.5,-0.8,82.7,0.0,82.5,0.0,13.9,0.0,13.9,0.0
Prese,2562.0,,2562.0,,467.0,,467.0,,57.6,,57.6,
Jet>2,2562.0,0.0,2562.0,0.0,467.0,0.0,467.0,0.0,57.6,0.0,57.6,0.0
Jet>4,1931.0,-24.6,1933.3,-24.5,410.0,-12.2,417.4,-10.6,53.5,-7.1,54.3,-5.6
Dphi(j3)>0.4,1718.0,-11.0,1707.4,-11.7,357.0,-12.9,360.4,-13.7,44.7,-16.4,45.4,-16.4
Dphi(rest)>0.2,1583.0,-7.9,1555.8,-8.9,322.0,-9.8,323.2,-10.3,39.8,-11.0,39.9,-12.1
pt(j4)>100,661.0,-58.2,688.2,-55.8,234.0,-27.3,237.0,-26.7,35.3,-11.3,35.4,-11.4
eta(j4)<2,574.0,-13.2,607.7,-11.7,214.0,-8.5,217.4,-8.3,32.1,-9.1,32.0,-9.5
Aplanarity>0.04,429.0,-25.3,436.3,-28.2,159.0,-25.7,159.8,-26.5,22.3,-30.5,22.4,-30.2
Etmiss/HT,149.0,-65.3,154.7,-64.5,82.7,-48.0,82.5,-48.4,13.9,-37.7,13.9,-37.9
Meff,13.7,-90.8,17.3,-88.8,34.9,-57.8,40.4,-51.0,13.6,-2.2,13.6,-1.9
Prese,2562.0,,2562.0,,467.0,,467.0,,57.6,,57.6,
Jet>2,2532.0,0.0,2562.0,0.0,467.0,0.0,467.0,0.0,57.6,0.0,57.6,0.0
Jet>4,1931.0,-23.7,1933.3,-24.5,410.0,-12.2,417.4,-10.6,53.5,-7.1,54.3,-5.6
Dphi(j3)>0.4,1718.0,-11.0,1707.4,-11.7,357.0,-12.9,360.4,-13.7,44.7,-16.4,45.4,-16.4
Dphi(rest)>0.2,1583.0,-7.9,1555.8,-8.9,322.0,-9.8,323.2,-10.3,39.8,-11.0,39.9,-12.1
pt(j4)>100,661.0,-58.2,688.2,-55.8,234.0,-27.3,237.0,-26.7,35.3,-11.3,35.4,-11.4
eta(j4)<2,574.0,-13.2,607.7,-11.7,214.0,-8.5,217.4,-8.3,32.1,-9.1,32.0,-9.5
Aplanarity>0.04,429.0,-25.3,436.3,-28.2,159.0,-25.7,159.8,-26.5,22.3,-30.5,22.4,-30.2
Etmiss/HT,398.0,-7.2,408.4,-6.4,142.0,-10.7,141.3,-11.6,19.6,-12.1,19.6,-12.2
Meff,0.3,-99.9,1.9,-99.5,1.4,-99.0,4.6,-96.8,8.0,-59.0,8.7,-55.5
