,,,,,,,,,,,,
Prese,2562.00,,2562.00,,2562.00,,2562.00,,57.6,,57.6,
Jet>2,2562.00,0.00,2562.00,0.00,2562.00,0.00,2562.00,0.00,57.6,0,57.6,0
Jet>4,1931.00,-24.63,1915.52,-25.23,1931.00,-24.63,1915.52,-25.23,53.5,-7.11805555555556,53.0560122347544,-7.88886764799592
Dphi(j3)>0.4,1718.00,-11.03,1671.15,-12.76,1718.00,-11.03,1671.15,-12.76,44.7,-16.4485981308411,44.4910724526859,-16.1432030439294
Dphi(rest)>0.2,1583.00,-7.86,1532.76,-8.28,1583.00,-7.86,1532.76,-8.28,39.8,-10.9619686800895,40.1122538711527,-9.84201625211401
pt(j4)>100,661.00,-58.24,659.10,-57.00,661.00,-58.24,659.10,-57.00,35.3,-11.3065326633166,34.8250047792009,-13.1811319028229
eta(j4)<2,574.00,-13.16,602.96,-8.52,574.00,-13.16,602.96,-8.52,32.1,-9.06515580736543,31.6757790097496,-9.04300168634064
Aplanarity,429.00,-25.26,407.56,-32.41,429.00,-25.26,407.56,-32.41,22.3,-30.5295950155763,20.842515771363,-34.2004634994206
Etmiss/HT,149.00,-65.27,149.05,-63.43,149.00,-65.27,149.05,-63.43,13.9,-37.6681614349776,13.0758937105716,-37.2633618032931
Meff,149.00,0.00,149.05,0.00,149.00,0.00,149.05,0.00,13.9,0,13.0758937105716,0
Prese,2562,,2562,,467.00,,471.00,,57.60,,57.6,
Jet>2,2562,0,2562,0,467.00,0.00,471.00,0.86,57.6,0,57.6,0
Jet>4,1931,-24.6291959406714,1915.51605231867,-25.2335654832682,410.00,-12.21,405.81,-13.84,53.5,-7.11805555555556,53.0560122347544,-7.88886764799592
Dphi(j3)>0.4,1718,-11.0305541170378,1671.15338882283,-12.7570146540952,357.00,-12.93,352.66,-13.10,44.7,-16.4485981308411,44.4910724526859,-16.1432030439294
Dphi(rest)>0.2,1583,-7.85797438882421,1532.76099881094,-8.28125,322.00,-9.80,322.12,-8.66,39.8,-10.9619686800895,40.1122538711527,-9.84201625211401
pt(j4)>100,661,-58.2438408085913,659.104637336504,-56.9988642816581,234.00,-27.33,227.78,-29.29,35.3,-11.3065326633166,34.8250047792009,-13.1811319028229
eta(j4)<2,574,-13.1618759455371,602.964328180737,-8.51766259491581,214.00,-8.55,211.35,-7.21,32.1,-9.06515580736543,31.6757790097496,-9.04300168634064
Aplanarity,429,-25.2613240418118,407.561236623068,-32.4070732587514,159.00,-25.70,149.12,-29.45,22.3,-30.5295950155763,20.842515771363,-34.2004634994206
Etmiss/HT,149,-65.2680652680653,149.054696789536,-63.4276561665777,82.70,-47.99,78.38,-47.44,13.9,-37.6681614349776,13.0758937105716,-37.2633618032931
Meff,13.7,-90.8053691275168,23.935790725327,-83.9416058394161,34.90,-57.80,32.51,-58.53,13.6,-2.15827338129497,12.8061173771745,-2.06315789473684
,,,,,,,,,57.60,,57.60,
,,,,,,,,,57.60,0.00,57.60,0.00
,,,,,,,,,53.50,-7.12,53.06,-7.89
,,,,,,,,,44.70,-16.45,44.49,-16.14
,,,,,,,,,39.80,-10.96,40.11,-9.84
,,,,,,,,,35.30,-11.31,34.83,-13.18
,,,,,,,,,32.10,-9.07,31.68,-9.04
,,,,,,,,,22.30,-30.53,20.84,-34.20
,,,,,,,,,19.60,-12.11,18.37,-11.86
,,,,,,,,,8.04,-58.98,7.09,-61.41
