Prese,2562.00,,2562.00,,2562.00,,2562.00,,57.60,,57.60,
Jet>2,2562.00,0.00,2562.00,0.00,2562.00,0.00,2562.00,0.00,57.60,0.00,57.60,0.00
Jet>4,1931.00,-24.63,1915.52,-25.23,1931.00,-24.63,1915.52,-25.23,53.50,-7.12,53.06,-7.89
Dphi(j3)>0.4,1718.00,-11.03,1671.15,-12.76,1718.00,-11.03,1671.15,-12.76,44.70,-16.45,44.49,-16.14
Dphi(rest)>0.2,1583.00,-7.86,1532.76,-8.28,1583.00,-7.86,1532.76,-8.28,39.80,-10.96,40.11,-9.84
pt(j4)>100,661.00,-58.24,659.10,-57.00,661.00,-58.24,659.10,-57.00,35.30,-11.31,34.83,-13.18
eta(j4)<2,574.00,-13.16,602.96,-8.52,574.00,-13.16,602.96,-8.52,32.10,-9.07,31.68,-9.04
Aplanarity,429.00,-25.26,407.56,-32.41,429.00,-25.26,407.56,-32.41,22.30,-30.53,20.84,-34.20
Etmiss/HT,149.00,-65.27,149.05,-63.43,149.00,-65.27,149.05,-63.43,13.90,-37.67,13.08,-37.26
Meff,149.00,0.00,149.05,0.00,149.00,0.00,149.05,0.00,13.90,0.00,13.08,0.00
Prese,2562.00,,2562.00,,467.00,,471.00,,57.60,,57.60,
Jet>2,2562.00,0.00,2562.00,0.00,467.00,0.00,471.00,0.86,57.60,0.00,57.60,0.00
Jet>4,1931.00,-24.63,1915.52,-25.23,410.00,-12.21,405.81,-13.84,53.50,-7.12,53.06,-7.89
Dphi(j3)>0.4,1718.00,-11.03,1671.15,-12.76,357.00,-12.93,352.66,-13.10,44.70,-16.45,44.49,-16.14
Dphi(rest)>0.2,1583.00,-7.86,1532.76,-8.28,322.00,-9.80,322.12,-8.66,39.80,-10.96,40.11,-9.84
pt(j4)>100,661.00,-58.24,659.10,-57.00,234.00,-27.33,227.78,-29.29,35.30,-11.31,34.83,-13.18
eta(j4)<2,574.00,-13.16,602.96,-8.52,214.00,-8.55,211.35,-7.21,32.10,-9.07,31.68,-9.04
Aplanarity,429.00,-25.26,407.56,-32.41,159.00,-25.70,149.12,-29.45,22.30,-30.53,20.84,-34.20
Etmiss/HT,149.00,-65.27,149.05,-63.43,82.70,-47.99,78.38,-47.44,13.90,-37.67,13.08,-37.26
Meff,13.70,-90.81,23.94,-83.94,34.90,-57.80,32.51,-58.53,13.60,-2.16,12.81,-2.06
Prese,2562.00,,2562.00,,467.00,,467.00,,57.60,,57.60,
Jet>2,2532.00,-0.01,2562.00,0.00,467.00,0.00,467.00,0.86,57.60,0.00,57.60,0.00
Jet>4,1931.00,-23.74,1915.52,-25.23,410.00,-12.21,405.81,-13.84,53.50,-7.12,53.06,-7.89
Dphi(j3)>0.4,1718.00,-11.03,1671.15,-12.76,357.00,-12.93,352.66,-13.10,44.70,-16.45,44.49,-16.14
Dphi(rest)>0.2,1583.00,-7.86,1532.76,-8.28,322.00,-9.80,322.12,-8.66,39.80,-10.96,40.11,-9.84
pt(j4)>100,661.00,-58.24,659.10,-57.00,234.00,-27.33,227.78,-29.29,35.30,-11.31,34.83,-13.18
eta(j4)<2,574.00,-13.16,602.96,-8.52,214.00,-8.55,211.35,-7.21,32.10,-9.07,31.68,-9.04
Aplanarity,429.00,-25.26,407.56,-32.41,159.00,-25.70,149.12,-29.45,22.30,-30.53,20.84,-34.20
Etmiss/HT,398.00,-7.23,374.70,-8.06,82.70,-10.69,78.38,-10.50,19.60,-12.11,18.37,-11.86
Meff,0.28,-99.93,0.87,-99.77,34.90,-98.99,32.51,-98.31,8.04,-58.98,7.09,-61.41
