Prese,1763.0,,1763.0,,541.0,,541.0,,174.0,,174.0,
Jet>2,1763.0,0.0,1763.0,0.0,541.0,0.0,541.0,0.0,174.0,0.0,174.0,0.0
Dphi(j3)>0.8,1433.0,-18.7,1413.5,-19.8,431.0,-20.3,435.0,-19.6,136.0,-21.8,136.5,-21.5
Dphi(rest)>0.4,1377.0,-3.9,1354.4,-4.2,411.0,-4.6,411.3,-5.5,129.0,-5.1,129.2,-5.4
pt(j2)>250,853.0,-38.1,854.6,-36.9,311.0,-24.3,316.0,-23.2,111.0,-14.0,111.0,-14.1
eta(j1j2)<2,836.0,-2.0,837.3,-2.0,306.0,-1.6,310.6,-1.7,109.0,-1.8,108.2,-2.5
Etmiss_HT>16,568.0,-32.1,567.8,-32.2,228.0,-25.5,229.2,-26.2,86.4,-20.7,85.8,-20.7
Meff>1600,366.0,-35.6,379.5,-33.2,202.0,-11.4,201.8,-12.0,83.5,-3.4,83.0,-3.2
Prese,1763.0,,1763.0,,541.0,,541.0,,174.0,,174.0,
Jet > 2,1763.0,0.0,1763.0,0.0,541.0,0.0,541.0,0.0,174.0,0.0,174.0,0.0
Dphi(j3)>0.4,1603.0,-9.1,1593.1,-9.6,483.0,-10.7,490.8,-9.3,156.0,-10.3,154.9,-11.0
Dphi(rest)>0.2,1567.0,-2.2,1561.4,-2.0,470.0,-2.7,476.7,-2.9,151.0,-3.2,150.2,-3.0
pt(j1)>600,509.0,-67.5,521.4,-66.6,269.0,-42.8,270.7,-43.2,120.0,-20.5,119.6,-20.4
Etmiss_HT>16,337.0,-33.8,350.7,-32.7,201.0,-25.3,200.1,-26.1,94.6,-21.2,94.1,-21.3
Meff>2200,101.0,-70.0,99.6,-71.6,108.0,-46.3,108.0,-46.0,76.1,-19.6,77.4,-17.8
Prese,1763.0,,1763.0,,541.0,,541.0,,174.0,,174.0,
Jet > 2,1763.0,0.0,1763.0,0.0,541.0,0.0,541.0,0.0,174.0,0.0,174.0,0.0
Dphi(j3)>0.8,1433.0,-18.7,1413.5,-19.8,431.0,-20.3,435.0,-19.6,136.0,-21.8,136.5,-21.5
Dphi(rest)>0.4,1377.0,-3.9,1354.4,-4.2,411.0,-4.6,411.3,-5.5,129.0,-5.1,129.2,-5.4
pt(j2)>250,853.0,-38.1,854.6,-36.9,311.0,-24.3,316.0,-23.2,111.0,-14.0,111.0,-14.1
eta(j1j2)<1.2,655.0,-23.2,657.1,-23.1,235.0,-24.4,241.6,-23.5,82.3,-25.9,84.6,-23.8
Etmiss_HT>16,439.0,-33.0,442.5,-32.6,173.0,-26.4,177.3,-26.6,64.6,-21.5,67.0,-20.8
Meff>2800,15.6,-96.4,15.5,-96.5,18.8,-89.1,17.5,-90.1,29.1,-55.0,29.8,-55.5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
t2,,,,,,,,,,,,
